run_name,method,packet_method,init_mode,use_logits,use_generalist_logits,communication_mode,ipc,registry_source,num_agents,mean_ipc,mean_self_real_images,mean_external_comm_images,mean_external_comm_logit_bytes,mean_external_comm_generalist_logit_bytes,mean_acc_global_before,mean_acc_expert_before,mean_acc_global_after,mean_acc_expert_after,mean_acc_new_after,mean_forgetting,mean_loss_cls,mean_loss_fr,mean_loss_kd,mean_loss_sender_kd,mean_loss_generalist_kd
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,31.4675,40.64,28.41,26.5,0.0377215,0.126745,0.155263,0.155263,0
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,32.68,42.34,29.46,24.8,0.0421247,0.195271,0.108381,0.108381,0
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep500,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,32.255,41.2,29.2733,25.94,0.0483357,0.154096,0.110853,0.110853,0
cifar100_4agent_25cls_conv_family_ablation_fr020_kd025_ep500,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,31.5675,40.69,28.5267,26.45,0.0315173,0.163261,0.118411,0.118411,0
cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep200,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,32.77,42.63,29.4833,24.51,0.073698,0.12277,0.142518,0.142518,0
cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep500,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,31.73,40.73,28.73,26.41,0.0482924,0.107831,0.0848575,0.0848575,0
cifar100_4agent_25cls_conv_family_ablation_fr050_kd050_ep500,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,31.77,39.38,29.2333,27.76,0.0549262,0.115528,0.086017,0.086017,0
cifar100_4agent_25cls_conv_family_ipc10,DSDM,dsdm,expert,false,,,10,pipeline_social_results,4,10,,750,0,,16.785,67.14,28.415,40.48,24.3933,26.66,0.0100738,0.242501,0,,
cifar100_4agent_25cls_conv_family_ipc10,DSDM_LOGIT,dsdm,expert,true,,,10,pipeline_social_results,4,10,,750,150000,,16.785,67.14,32.3025,40.06,29.7167,27.08,0.0360693,0.284964,0.0670194,,
cifar100_4agent_25cls_conv_family_ipc10,FULL_REAL,full_real,expert,false,,,10,pipeline_social_results,4,10,,37500,0,,16.785,67.14,48.5975,51.05,47.78,16.09,0.109339,2.05365,0,,
cifar100_4agent_25cls_conv_family_ipc10,HEURISTIC,heuristic,expert,false,,,10,pipeline_social_results,4,10,,750,0,,16.785,67.14,23.4575,52.03,13.9333,15.11,0.00648126,0.0349394,0,,
cifar100_4agent_25cls_conv_family_ipc50,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,,3750,750000,0,16.785,67.14,41.875,47.04,40.1533,20.1,0.0733181,0.67349,0.169452,0.169452,0
cifar100_4agent_25cls_conv_family_ipc50_lastfeat,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,1,50,,3750,750000,0,15.99,63.96,40.44,43.4,39.4533,20.56,0.0865712,1.58458,0.255432,0.255432,0
cifar100_4agent_25cls_conv_family_packet_generalist,DSDM_PACKET_GENERALIST,dsdm,expert,true,true,packet_generalist,10,pipeline_social_results,4,10,,750,150000,600000,16.785,67.14,32.0025,37.35,30.22,29.79,0.030861,0.217657,0.102254,0.106345,0.0981629
cifar100_4agent_25cls_conv_family_recipe_dsdm_image_fr020_ep200,DSDM,dsdm,expert,false,false,direct,10,pipeline_social_results,4,10,,750,0,0,16.785,67.14,30.4725,42.68,26.4033,24.46,0.0155194,0.12692,0,0,0
cifar100_4agent_25cls_conv_family_recipe_dsdm_logit_fr020_ep200,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,32.8675,42.4,29.69,24.74,0.0326283,0.0980915,0.0759576,0.0759576,0
cifar100_4agent_25cls_conv_family_recipe_heuristic_image_fr020_ep200,HEURISTIC,heuristic,expert,false,false,direct,10,pipeline_social_results,4,10,,750,0,0,16.785,67.14,24.075,53.18,14.3733,13.96,0.011576,0.0207848,0,0,0
cifar100_4agent_25cls_conv_family_tuning_A_ep100_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,,750,150000,0,16.785,67.14,33.575,44.03,30.09,23.11,0.0561177,0.101099,0.102763,0.102763,0
